Eurovision Song Contest 2 16 Grand Final,Eurovision Song Contest 2 16 Grand Final,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2 17,f,2 17f,T,Czech Republic,Poland,0
2 17,f,2 17f,T,Czech Republic,Portugal,8
2 17,f,2 17f,T,Czech Republic,Romania,6
2 17,f,2 17f,T,Czech Republic,Spain,0
2 17,f,2 17f,T,Czech Republic,Sweden,0
2 17,f,2 17f,T,Czech Republic,Netherlands,0
2 17,f,2 17f,T,Czech Republic,Ukraine,7
2 17,f,2 17f,T,Czech Republic,United Kingdom,0
2 17,f,2 17f,T,Denmark,Armenia,0
2 17,f,2 17f,T,Denmark,Australia,2
2 17,f,2 17f,T,Denmark,Austria,0
2 17,f,2 17f,T,Denmark,Azerbaijan,0
2 17,f,2 17f,T,Denmark,Belarus,0
2 17,f,2 17f,T,Denmark,Belgium,6
2 17,f,2 17f,T,Denmark,Bulgaria,1
2 17,f,2 17f,T,Denmark,Croatia,0
2 17,f,2 17f,T,Denmark,Cyprus,0
2 17,f,2 17f,T,Denmark,France,0
2 17,f,2 17f,T,Denmark,Germany,0
2 17,f,2 17f,T,Denmark,Greece,0
2 17,f,2 17f,T,Denmark,Hungary,3
2 17,f,2 17f,T,Denmark,Israel,0
2 17,f,2 17f,T,Denmark,Italy,0
2 17,f,2 17f,T,Denmark,Moldova,8
2 17,f,2 17f,T,Denmark,Norway,7
2 17,f,2 17f,T,Denmark,Poland,0
2 17,f,2 17f,T,Denmark,Portugal,5
2 17,f,2 17f,T,Denmark,Romania,4
2 17,f,2 17f,T,Denmark,Spain,0
2 17,f,2 17f,T,Denmark,Sweden,12
2 17,f,2 17f,T,Denmark,Netherlands,1
2 17,f,2 17f,T,Denmark,Ukraine,0
2 17,f,2 17f,T,Denmark,United Kingdom,0
2 17,f,2 17f,T,Estonia,Armenia,0
2 17,f,2 17f,T,Estonia,Australia,0
2 17,f,2 17f,T,Estonia,Austria,0
2 17,f,2 17f,T,Estonia,Azerbaijan,0
2 17,f,2 17f,T,Estonia,Belarus,2
2 17,f,2 17f,T,Estonia,Belgium,12
2 17,f,2 17f,T,Estonia,Bulgaria,7
2 17,f,2 17f,T,Estonia,Croatia,0
2 17,f,2 17f,T,Estonia,Cyprus,0
2 17,f,2 17f,T,Estonia,Denmark,0
2 17,f,2 17f,T,Estonia,France,1
2 17,f,2 17f,T,Estonia,Germany,0
2 17,f,2 17f,T,Estonia,Greece,0
2 17,f,2 17f,T,Estonia,Hungary,8
2 17,f,2 17f,T,Estonia,Israel,0
2 17,f,2 17f,T,Estonia,Italy,5
2 17,f,2 17f,T,Estonia,Moldova,4
2 17,f,2 17f,T,Estonia,Norway,0
2 17,f,2 17f,T,Estonia,Poland,0
2 17,f,2 17f,T,Estonia,Portugal,1
2 17,f,2 17f,T,Estonia,Romania,6
2 17,f,2 17f,T,Estonia,Spain,0
2 17,f,2 17f,T,Estonia,Sweden,3
2 17,f,2 17f,T,Estonia,Netherlands,0
2 17,f,2 17f,T,Estonia,Ukraine,0
2 17,f,2 17f,T,Estonia,United Kingdom,0
2 17,f,2 17f,T,Macedonia,Armenia,0
2 17,f,2 17f,T,Macedonia,Australia,0
2 17,f,2 17f,T,Macedonia,Austria,0
2 17,f,2 17f,T,Macedonia,Azerbaijan,0
2 17,f,2 17f,T,Macedonia,Belarus,0
2 17,f,2 17f,T,Macedonia,Belgium,4
2 17,f,2 17f,T,Macedonia,Bulgaria,12
2 17,f,2 17f,T,Macedonia,Croatia,1
2 17,f,2 17f,T,Macedonia,Cyprus,0
2 17,f,2 17f,T,Macedonia,Denmark,0
2 17,f,2 17f,T,Macedonia,France,6
2 17,f,2 17f,T,Macedonia,Germany,0
2 17,f,2 17f,T,Macedonia,Greece,0
2 17,f,2 17f,T,Macedonia,Hungary,3
2 17,f,2 17f,T,Macedonia,Israel,1
2 17,f,2 17f,T,Macedonia,Italy,8
2 17,f,2 17f,T,Macedonia,Moldova,2
2 17,f,2 17f,T,Macedonia,Norway,0
2 17,f,2 17f,T,Macedonia,Poland,0
2 17,f,2 17f,T,Macedonia,Portugal,7
2 17,f,2 17f,T,Macedonia,Romania,0
2 17,f,2 17f,T,Macedonia,Spain,0
2 17,f,2 17f,T,Macedonia,Sweden,5
2 17,f,2 17f,T,Macedonia,Netherlands,0
2 17,f,2 17f,T,Macedonia,Ukraine,0
2 17,f,2 17f,T,Macedonia,United Kingdom,0
2 17,f,2 17f,T,Finland,Armenia,0
2 17,f,2 17f,T,Finland,Australia,0
2 17,f,2 17f,T,Finland,Austria,0
2 17,f,2 17f,T,Finland,Azerbaijan,0
2 17,f,2 17f,T,Finland,Belarus,0
2 17,f,2 17f,T,Finland,Belgium,1
2 17,f,2 17f,T,Finland,Bulgaria,7
2 17,f,2 17f,T,Finland,Croatia,0
2 17,f,2 17f,T,Finland,Cyprus,0
2 17,f,2 17f,T,Finland,Denmark,0
2 17,f,2 17f,T,Finland,France,1
2 17,f,2 17f,T,Finland,Germany,0
2 17,f,2 17f,T,Finland,Greece,0
2 17,f,2 17f,T,Finland,Hungary,4
2 17,f,2 17f,T,Finland,Israel,0
